Gene,d0_to_d2_log2FC,d2_to_d5_log2FC,Total_log2FC
MIF,-0.481960382801931,-0.246402643043827,-0.728363025845758
HDGF,-0.475033714494586,-0.405912826477501,-0.8809465409720869
UQCRQ,-0.45883150243206,-0.22343709215653,-0.68226859458859
NPM1,-0.454681121299113,-0.450401936139745,-0.905083057438858
EIF5A,-0.444540568495527,-0.411587786528125,-0.856128355023652
ENSBTAG00000048782,-0.442698061242672,-0.264114440132238,-0.70681250137491
SET,-0.440578092587914,-0.304613957235723,-0.7451920498236371
HYPK,-0.437649985360643,-0.233503387676563,-0.671153373037206
MRPL52,-0.428468334060225,-0.303730680257111,-0.732199014317336
RAN,-0.422839754515596,-0.355288441376227,-0.778128195891823
DUT,-0.421920721801235,-1.03372683187283,-1.4556475536740652
HNRNPA1,-0.419543004826521,-0.455947895252735,-0.875490900079256
ENY2,-0.416197490008618,-0.241964542529405,-0.658162032538023
PRDX1,-0.393687231645435,-0.300663952711497,-0.694351184356932
PTGES3,-0.393045363550802,-0.333805195058069,-0.7268505586088709
SLC29A1,-0.390119635498903,-0.190894986109883,-0.581014621608786
HNRNPF,-0.383477985067958,-0.176220365747192,-0.55969835081515
RPLP2,-0.368406102948867,-0.115700168542706,-0.484106271491573
PLP2,-0.353165434106996,-0.421445050239716,-0.7746104843467121
CCT4,-0.350052281732487,-0.199956240564627,-0.5500085222971139
HSP90AB1,-0.313849123590461,-0.153925452768061,-0.46777457635852204
EEF1D,-0.307689682441958,-0.0837602113534479,-0.3914498937954059
CLTA,-0.303559177016158,-0.118696185484457,-0.42225536250061496
RPS26,-0.288416433773107,-0.196630578652839,-0.485047012425946
RPS16,-0.28445096200217,-0.218216626768774,-0.502667588770944
RPL37,-0.282577378563341,-0.131854236413677,-0.41443161497701797
RPL34,-0.280347909477914,-0.15740350794694,-0.437751417424854
ATP5F1E,-0.268117763410075,-0.106413633706528,-0.374531397116603
YBX1,-0.254854967316803,-0.293897185633459,-0.548752152950262
EIF1,-0.248816475558547,-0.0884375437874989,-0.33725401934604593
RPL22,-0.213217775650568,-0.22428401984526,-0.437501795495828
RPS17,-0.211908432550266,-0.0737857277343963,-0.2856941602846623
EIF4A1,-0.193695736465127,-0.332568156832844,-0.5262638932979711
RPS15,-0.162947786934578,-0.181943491233674,-0.34489127816825205
FAU,-0.153528889389606,-0.160286728379267,-0.313815617768873
RPL13,-0.150689062334203,-0.234322048111611,-0.38501111044581404
