Gene,d0→d2,d2→d5,Total
AP3S1,0.675630648407739,0.439530519778069,1.115161168185808
COL6A1,0.675459568863857,0.880983878632096,1.556443447495953
B3GALNT2,0.672033195262975,0.520361528793673,1.1923947240566481
ADAMTS2,0.66574488902819,0.232543690102554,0.898288579130744
NSMCE1,0.662596001478964,0.166107184004747,0.828703185483711
SERF2,0.658187247016214,0.256112315123292,0.914299562139506
CST3,0.653327774711785,0.171731131855441,0.825058906567226
DIPK2A,0.650048882996637,0.711114007519304,1.361162890515941
LAMB2,0.647007946395588,0.64512222874951,1.292130175145098
S100A16,0.646965596521795,0.167019699224156,0.813985295745951
TSTD1,0.643970613015704,0.404066180841607,1.048036793857311
CITED2,0.638308354657714,0.333092377291929,0.9714007319496429
FH,0.633653303752706,0.319206638966346,0.952859942719052
SCARF2,0.629963330247572,0.478243810535573,1.108207140783145
SERPINF1,0.624954643337642,0.65892210608647,1.283876749424112
COL3A1,0.623045312145772,0.346433410308014,0.969478722453786
GPC1,0.618810214838696,0.209495464155792,0.828305678994488
ENSBTAG00000046486,0.611865656428236,0.380644571668868,0.992510228097104
RIN2,0.602142295027807,0.335727367010869,0.937869662038676
CTSF,0.58454762359676,0.38349682720529,0.96804445080205
SLC38A10,0.579860042791915,0.485319448519327,1.065179491311242
ANXA5,0.576295388804829,0.230319269960416,0.806614658765245
TMEM131,0.569423343162164,0.332574176269364,0.901997519431528
COPZ2,0.568883626835849,0.415058286831761,0.98394191366761
SDF4,0.567277065791349,0.165923798292072,0.7332008640834209
NEDD4L,0.566254748964004,0.597876337422502,1.164131086386506
RUNX1T1,0.565121439179154,0.471273296580709,1.036394735759863
CDC42EP3,0.564459216056164,0.172839307929175,0.737298523985339
SMS,0.560131604748002,0.328100968894085,0.8882325736420871
VCL,0.559339716890292,0.347532136913139,0.906871853803431
LAPTM4A,0.557483197033461,0.107888749217732,0.6653719462511931
FKBP14,0.554253506314438,0.477992917646926,1.032246423961364
CYHR1,0.55423237853817,0.449618509806795,1.003850888344965
ARHGEF2,0.553478608244144,0.23448485746025,0.7879634657043939
SSBP4,0.537807588006767,0.276852793010917,0.814660381017684
MYADM,0.533950348541522,0.348419852977979,0.882370201519501
ATP2B1,0.522996146512164,0.45822117465074,0.981217321162904
CHPF2,0.522517990496092,0.528304545041546,1.050822535537638
TPT1,0.515272083778707,0.219176484303303,0.7344485680820101
TLN1,0.513323724076813,0.266017109518093,0.779340833594906
ENSBTAG00000048386,0.512637918731493,0.384495239389265,0.897133158120758
BAG2,0.510752646537392,0.508651847813269,1.019404494350661
CEMIP2,0.505641439284212,0.653406494082148,1.15904793336636
P3H1,0.504254557796033,0.323723068025066,0.827977625821099
BTG1,0.501608571126927,0.261747995489438,0.7633565666163651
FKBP10,0.500403031131947,0.358319265543299,0.8587222966752459
ITM2C,0.49969963880861,0.646607217724569,1.146306856533179
CAST,0.497113250194219,0.210359963878718,0.707473214072937
VIM,0.496858637936547,0.114760807376087,0.611619445312634
RASA1,0.491540022697497,0.306766863765326,0.7983068864628231
CLTC,0.491496156956486,0.369386765254533,0.860882922211019
XPC,0.490102894169031,0.492493464780491,0.982596358949522
TRIO,0.487954823403548,0.571969961053258,1.059924784456806
IGF2R,0.485175434307344,0.228499574524714,0.713675008832058
CALD1,0.484680640037479,0.097964843427262,0.582645483464741
DLGAP4,0.48015843043607,0.291512468384854,0.771670898820924
SGCB,0.478576369058745,0.474508924684495,0.95308529374324
