"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CENPW",3.70070586340368e-22,-0.975434093763715,0.25,0.389,8.09714442912724e-18
"RYK",3.98181266755332e-22,0.533613247652279,0.724,0.639,8.71220611660667e-18
"ARGLU1",4.195175483194e-22,0.309140081916927,0.952,0.947,9.17904395722848e-18
"CENPE",4.97627562213421e-22,-1.33757495697524,0.168,0.302,1.08880910612297e-17
"DLC1",4.97935162564719e-22,0.544517765271089,0.731,0.651,1.0894821356916e-17
"MRPL9",5.09044534143575e-22,-0.314116450616395,0.89,0.923,1.11378944070614e-17
"EEF1B2",5.17465315702772e-22,-0.152802172117386,0.997,0.996,1.13221411075766e-17
"MCM2",5.6126964197538e-22,-1.01744672045848,0.16,0.294,1.22805797664213e-17
"PSMA5",5.66132237644151e-22,-0.322894348334453,0.875,0.924,1.2386973359654e-17
"MBNL2",6.20617189397407e-22,0.409936941674263,0.836,0.788,1.35791041040153e-17
"CPE",6.64949645229095e-22,1.56583133110367,0.376,0.265,1.45490982376126e-17
"MRPL52",6.94783290113167e-22,-0.303730680257111,0.886,0.924,1.52018583876761e-17
"UBXN1",6.97992929504933e-22,-0.31833551052447,0.886,0.936,1.52720852975679e-17
"CALM3",7.39448461740014e-22,-0.30609685487603,0.905,0.936,1.61791323428715e-17
"PSMC3",7.4012020385609e-22,-0.252006787967833,0.931,0.962,1.61938300603712e-17
"ALDOA",7.59027256106602e-22,-0.219605484016493,0.985,0.992,1.66075163636125e-17
"DNMT1",8.03075953824326e-22,-0.617115554152778,0.583,0.705,1.75713018696763e-17
"FHL2",8.36472760037316e-22,0.430952172606633,0.887,0.866,1.83020239896165e-17
"STOML2",9.07666287557583e-22,-0.34842452850489,0.823,0.881,1.98597383717599e-17
"KIF2C",9.80369348288841e-22,-3.18821712324746,0.011,0.078,2.14504813405598e-17
"CTNNA2",1.05089077293396e-21,1.41044522531618,0.221,0.105,2.29934901117949e-17
"KIF5B",1.06542841940453e-21,-0.24708860475505,0.966,0.985,2.33115738165711e-17
"PFDN1",1.12295345040191e-21,-0.528707671538587,0.513,0.652,2.45702214947937e-17
"ADIRF",1.16933980214402e-21,-1.04734848191027,0.425,0.565,2.55851548709112e-17
"CREB3L1",1.18736633707167e-21,0.38049900114822,0.931,0.906,2.59795754551282e-17
"SPTAN1",1.29175918726689e-21,0.390260054195963,0.876,0.842,2.82636910173996e-17
"HNRNPR",1.31647266089261e-21,-0.287169069679244,0.921,0.954,2.88044218203304e-17
"RNASE4",1.33183407840285e-21,-0.796110953322559,0.462,0.62,2.91405296354543e-17
"SYNE2",1.4568739377705e-21,-0.737421019978965,0.232,0.384,3.18764017584185e-17
"SLC25A3",1.49760027501545e-21,-0.205114744305726,0.989,0.993,3.2767494017338e-17
"TAF10",1.61434754030533e-21,-0.242964068120354,0.944,0.976,3.53219241818805e-17
"RAP1GDS1",1.86683960787797e-21,0.463439814851817,0.757,0.695,4.08464506203699e-17
"LSM3",1.91133106332902e-21,-0.42624233068948,0.727,0.823,4.18199236656389e-17
"DLGAP5",2.09854109530401e-21,-2.16830875135522,0.053,0.148,4.59160791652518e-17
"MYL9",2.11501295325254e-21,0.287019171020068,0.963,0.952,4.62764834171656e-17
"COX6A1",2.73445289460456e-21,0.198457677792954,0.996,0.996,5.98298293339477e-17
"UBE2C",3.11066502926341e-21,-0.706709987793742,0.244,0.394,6.80613508402834e-17
"COPA",3.38074705892002e-21,0.377112020170969,0.844,0.802,7.39707456491701e-17
"ARL6IP4",3.50510413732851e-21,-0.431210109102116,0.675,0.776,7.66916785247478e-17
"PSMB5",3.50640648104104e-21,-0.228743175190758,0.964,0.975,7.6720173805178e-17
"HOMER2",3.74863665078323e-21,-2.45483652536356,0.015,0.085,8.2020169919137e-17
"METRN",3.75884518432899e-21,0.728106052868936,0.568,0.461,8.22435326331184e-17
"ILF2",3.84184734118861e-21,-0.328756120926951,0.839,0.891,8.40596198252068e-17
"NFE2L1",4.2496627082772e-21,0.420377827551013,0.87,0.819,9.29826200571051e-17
"RPUSD4",4.47596137150659e-21,-0.666113793915642,0.291,0.446,9.79340348085642e-17
"P4HB",4.8758368132183e-21,-0.284100207312088,0.905,0.95,1.06683309473216e-16
"IDH3A",5.323074944518e-21,0.424426513231571,0.905,0.888,1.16468879786054e-16
"FKBP1A",5.72812930772264e-21,0.263681755151673,0.947,0.945,1.25331469252971e-16
"DSEL",6.23558960169705e-21,0.492165196889154,0.754,0.664,1.36434700485131e-16
"MRPS2",6.86838567779151e-21,-0.371834075467661,0.729,0.821,1.50280278630078e-16
"COL11A1",7.46786657241057e-21,0.386187940299195,0.949,0.91,1.63396920604343e-16
"SNRPB2",7.47487356922033e-21,-0.3670600044599,0.747,0.848,1.63550233694541e-16
"AGPAT2",8.8368274434503e-21,-0.871391494033618,0.16,0.297,1.93349784462693e-16
"ASPA",9.23780440978238e-21,1.15870442595874,0.324,0.196,2.02123160486038e-16
"TMA7",9.9314021680869e-21,-0.237367210685275,0.952,0.973,2.17299079437741e-16
"PSMB9",1.02151558663833e-20,-0.859966109600834,0.306,0.449,2.23507610356466e-16
"SDC1",1.02415363609165e-20,0.783936190982724,0.496,0.375,2.24084815576852e-16
"CDKN3",1.13593300338075e-20,-1.42679822764284,0.071,0.174,2.48542141139707e-16
"XPC",1.23106445992098e-20,0.492493464780491,0.765,0.681,2.6935690383071e-16
"ENSBTAG00000048782",1.25054847593936e-20,-0.264114440132238,0.986,0.995,2.73620006535531e-16
"PEG10",1.57891120178684e-20,-0.760458662247095,0.252,0.401,3.45465770950961e-16
"RPP21",1.69922894508203e-20,-0.802956465925331,0.236,0.378,3.71791293183949e-16
"DNER",1.83277377883348e-20,1.10304879732962,0.271,0.148,4.01010902808765e-16
"MRPS12",1.83446265421508e-20,-0.469872873370355,0.563,0.689,4.0138042874226e-16
"SERPINH1",2.12597611397213e-20,-0.297689259180399,0.967,0.979,4.65163573737103e-16
